epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,35.4126,2.24008,3.02436,1.30685,0.47789,0.2681,0.27141,0.11407,2.16586,2.03759,1.30749,0.000552379,0.000552379,0.000552379
2,66.4754,2.17681,1.93797,1.26188,0.43553,0.35329,0.30433,0.12926,2.08188,1.7215,1.27597,0.00109708,0.00109708,0.00109708
3,97.0503,2.19868,1.75359,1.27104,0.44553,0.28977,0.27602,0.11414,2.2155,2.21193,1.31112,0.00163077,0.00163077,0.00163077
4,127.746,2.17377,1.67417,1.26779,0.44086,0.30467,0.28907,0.12334,2.06343,1.59182,1.2493,0.00161749,0.00161749,0.00161749
5,158.649,2.12055,1.5981,1.24433,0.4922,0.3712,0.35164,0.14983,1.9826,1.49354,1.22414,0.00160099,0.00160099,0.00160099
6,189.798,2.06847,1.52312,1.22333,0.5571,0.35732,0.36861,0.1526,2.06515,1.47133,1.22171,0.00158448,0.00158448,0.00158448
7,220.713,2.05195,1.47933,1.20709,0.5946,0.37893,0.38489,0.15847,1.96602,1.41734,1.21042,0.00156798,0.00156798,0.00156798
8,251.53,2.0011,1.43213,1.18808,0.53918,0.40843,0.40659,0.17855,1.96108,1.28832,1.1863,0.00155148,0.00155148,0.00155148
9,282.383,2.0048,1.4018,1.18985,0.64154,0.36065,0.38531,0.16248,1.95787,1.73856,1.18586,0.00153497,0.00153497,0.00153497
10,312.991,1.96409,1.35303,1.16725,0.58308,0.38494,0.40614,0.17293,1.9659,1.29809,1.17806,0.00151847,0.00151847,0.00151847
11,343.575,1.92494,1.33082,1.1493,0.61592,0.41487,0.43902,0.18961,1.88354,1.17347,1.17135,0.00150197,0.00150197,0.00150197
12,374.392,1.94239,1.32729,1.15928,0.55787,0.41419,0.43076,0.18631,1.92598,1.25785,1.18155,0.00148546,0.00148546,0.00148546
13,404.957,1.93003,1.30894,1.14954,0.6184,0.42571,0.45756,0.19887,1.88769,1.20366,1.16582,0.00146896,0.00146896,0.00146896
14,435.379,1.90237,1.27112,1.14371,0.6235,0.43188,0.44916,0.19347,1.86344,1.20366,1.15791,0.00145246,0.00145246,0.00145246
15,465.865,1.89382,1.2621,1.1354,0.56931,0.44002,0.43321,0.18933,1.88853,1.12791,1.15931,0.00143595,0.00143595,0.00143595
16,496.356,1.88746,1.25361,1.13832,0.65698,0.44286,0.47879,0.21092,1.86774,1.09874,1.14385,0.00141945,0.00141945,0.00141945
17,527.112,1.87903,1.23727,1.13433,0.62966,0.44177,0.46736,0.20442,1.87616,1.16469,1.15582,0.00140295,0.00140295,0.00140295
18,557.71,1.83801,1.20581,1.12303,0.63496,0.45769,0.46436,0.20857,1.77527,1.13593,1.15758,0.00138644,0.00138644,0.00138644
19,588.257,1.82718,1.18733,1.11199,0.65019,0.45946,0.47966,0.2122,1.78276,1.09815,1.13159,0.00136994,0.00136994,0.00136994
20,618.709,1.83094,1.16502,1.11163,0.65975,0.46703,0.49058,0.22078,1.84984,1.06443,1.1438,0.00135344,0.00135344,0.00135344
21,649.117,1.81753,1.16516,1.10499,0.66059,0.4512,0.47137,0.21618,1.86246,1.06295,1.14585,0.00133693,0.00133693,0.00133693
22,679.936,1.81148,1.15807,1.1115,0.63459,0.47016,0.47458,0.21648,1.81563,1.06635,1.12924,0.00132043,0.00132043,0.00132043
23,710.321,1.79561,1.12868,1.09652,0.6694,0.46683,0.49859,0.23063,1.80521,1.047,1.13437,0.00130393,0.00130393,0.00130393
24,740.819,1.78219,1.13539,1.09549,0.65698,0.47498,0.49993,0.23304,1.71944,0.9759,1.12438,0.00128742,0.00128742,0.00128742
25,771.216,1.79082,1.13124,1.09081,0.64881,0.4759,0.5056,0.23789,1.77419,1.01863,1.11252,0.00127092,0.00127092,0.00127092
26,801.615,1.78676,1.12621,1.09351,0.70401,0.45598,0.49301,0.22801,1.7447,1.01982,1.12369,0.00125442,0.00125442,0.00125442
27,832.16,1.76765,1.1057,1.08359,0.67111,0.48573,0.50726,0.2344,1.75981,0.99087,1.12724,0.00123791,0.00123791,0.00123791
28,862.607,1.75783,1.09287,1.08319,0.64984,0.48469,0.4978,0.22821,1.80919,1.0181,1.12316,0.00122141,0.00122141,0.00122141
29,893.124,1.73783,1.07774,1.07588,0.62342,0.4964,0.51195,0.23313,1.8019,1.00059,1.1189,0.00120491,0.00120491,0.00120491
30,923.754,1.7541,1.08088,1.07592,0.68493,0.48489,0.51514,0.2401,1.80261,0.9956,1.1215,0.0011884,0.0011884,0.0011884
31,954.051,1.72048,1.05368,1.0702,0.68405,0.48128,0.514,0.23373,1.71911,0.98541,1.12244,0.0011719,0.0011719,0.0011719
32,984.29,1.72813,1.05111,1.07469,0.72968,0.4924,0.52501,0.23529,1.7653,0.9515,1.11516,0.0011554,0.0011554,0.0011554
33,1014.66,1.71846,1.04398,1.06699,0.69921,0.47659,0.51228,0.23591,1.74048,0.98913,1.12019,0.00113889,0.00113889,0.00113889
34,1045.07,1.7152,1.04098,1.06748,0.71209,0.50085,0.52759,0.24388,1.70881,0.95356,1.10807,0.00112239,0.00112239,0.00112239
35,1075.41,1.71121,1.03285,1.06288,0.70408,0.48161,0.50706,0.22965,1.73816,1.00109,1.11515,0.00110589,0.00110589,0.00110589
36,1105.73,1.68299,1.02329,1.05317,0.70356,0.50221,0.53745,0.24786,1.74804,0.94606,1.10854,0.00108938,0.00108938,0.00108938
37,1135.86,1.68491,1.01631,1.05102,0.70221,0.50108,0.52737,0.24788,1.70591,0.92476,1.10155,0.00107288,0.00107288,0.00107288
38,1166.21,1.66738,1.01198,1.05439,0.67936,0.48898,0.51002,0.24492,1.7482,0.94341,1.11163,0.00105638,0.00105638,0.00105638
