epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.7248,2.20422,2.87078,1.30508,0.53624,0.28155,0.28554,0.11767,2.00478,1.80317,1.27075,0.000552379,0.000552379,0.000552379
2,58.5216,2.14226,1.87739,1.26853,0.5133,0.33588,0.33391,0.13963,2.09415,1.74627,1.28286,0.00109708,0.00109708,0.00109708
3,87.7134,2.14336,1.69094,1.26795,0.57561,0.34326,0.35148,0.13792,2.11894,1.97366,1.3089,0.00163077,0.00163077,0.00163077
4,116.001,2.13873,1.64009,1.2589,0.46111,0.27538,0.27679,0.11656,1.92535,1.72707,1.2241,0.00161749,0.00161749,0.00161749
5,144.323,2.09994,1.55821,1.24011,0.60861,0.3581,0.37066,0.15389,1.99271,1.57586,1.24592,0.00160099,0.00160099,0.00160099
6,172.748,2.04667,1.48029,1.22541,0.51654,0.40801,0.39299,0.1694,2.03124,1.37238,1.18986,0.00158448,0.00158448,0.00158448
7,201.251,2.02039,1.44063,1.20103,0.64189,0.38281,0.40908,0.17,1.9789,1.39027,1.23031,0.00156798,0.00156798,0.00156798
8,230.004,1.97215,1.38345,1.18872,0.61427,0.40227,0.41084,0.17373,2.07651,1.27871,1.24631,0.00155148,0.00155148,0.00155148
9,259.065,1.97093,1.3731,1.17743,0.62257,0.43514,0.45378,0.19395,1.90854,1.23585,1.18494,0.00153497,0.00153497,0.00153497
10,287.575,1.94067,1.31984,1.15677,0.59131,0.42759,0.44011,0.1905,1.97118,1.17894,1.16827,0.00151847,0.00151847,0.00151847
11,316.068,1.91387,1.29589,1.14463,0.63281,0.45989,0.46766,0.20439,1.8447,1.1316,1.15763,0.00150197,0.00150197,0.00150197
12,345.083,1.91603,1.2904,1.15291,0.64316,0.40685,0.42767,0.18547,1.96352,1.25122,1.19361,0.00148546,0.00148546,0.00148546
13,373.823,1.8967,1.27573,1.14672,0.63062,0.45272,0.46022,0.20459,1.84644,1.1425,1.15354,0.00146896,0.00146896,0.00146896
14,402.829,1.87755,1.23253,1.1379,0.65041,0.46354,0.46687,0.20475,1.87162,1.18533,1.15859,0.00145246,0.00145246,0.00145246
15,431.632,1.87065,1.21994,1.1272,0.64067,0.45614,0.47317,0.21048,1.86988,1.10846,1.15821,0.00143595,0.00143595,0.00143595
16,460.573,1.84419,1.20085,1.125,0.65285,0.44731,0.46531,0.20832,1.9036,1.13553,1.15748,0.00141945,0.00141945,0.00141945
17,489.438,1.831,1.18587,1.12439,0.65238,0.47484,0.47724,0.21178,1.83037,1.09875,1.15499,0.00140295,0.00140295,0.00140295
18,518.305,1.80772,1.16432,1.11663,0.6302,0.46052,0.47972,0.22181,1.81191,1.12715,1.15315,0.00138644,0.00138644,0.00138644
19,547.152,1.7958,1.15332,1.10162,0.64615,0.48958,0.501,0.22352,1.81477,1.02703,1.13547,0.00136994,0.00136994,0.00136994
20,575.712,1.79144,1.13246,1.10661,0.6537,0.47943,0.49201,0.22176,1.85539,1.11416,1.13025,0.00135344,0.00135344,0.00135344
21,604.224,1.77763,1.12206,1.09447,0.65371,0.48687,0.49755,0.22756,1.8318,1.04803,1.13454,0.00133693,0.00133693,0.00133693
22,632.811,1.76414,1.11668,1.1028,0.69835,0.48276,0.50849,0.22624,1.77043,1.04701,1.12428,0.00132043,0.00132043,0.00132043
23,661.478,1.7689,1.08671,1.08482,0.67267,0.49737,0.51851,0.24313,1.70344,0.97855,1.11765,0.00130393,0.00130393,0.00130393
24,690.017,1.7508,1.08933,1.08388,0.63532,0.49495,0.50076,0.22457,1.76829,1.02892,1.12793,0.00128742,0.00128742,0.00128742
25,718.786,1.75816,1.08298,1.08321,0.66797,0.49862,0.52138,0.23766,1.76012,0.98373,1.1229,0.00127092,0.00127092,0.00127092
26,747.415,1.74144,1.0835,1.08314,0.67279,0.48967,0.52538,0.23916,1.71105,0.9737,1.12315,0.00125442,0.00125442,0.00125442
27,775.857,1.72436,1.05343,1.07293,0.64729,0.49462,0.5102,0.23927,1.76598,1.00534,1.11033,0.00123791,0.00123791,0.00123791
28,804.718,1.73265,1.05205,1.07557,0.64667,0.51135,0.52753,0.24021,1.82703,1.00601,1.11083,0.00122141,0.00122141,0.00122141
29,833.364,1.69761,1.03132,1.065,0.72675,0.49801,0.52473,0.23829,1.74996,1.00546,1.11921,0.00120491,0.00120491,0.00120491
30,862.356,1.71985,1.04053,1.06788,0.72824,0.49688,0.53764,0.24244,1.79386,0.99277,1.12455,0.0011884,0.0011884,0.0011884
31,890.856,1.69208,1.00959,1.05954,0.71103,0.4932,0.52684,0.23757,1.73079,0.96032,1.1109,0.0011719,0.0011719,0.0011719
32,919.204,1.69092,1.00301,1.06186,0.69102,0.50573,0.53716,0.24794,1.73901,0.9588,1.11128,0.0011554,0.0011554,0.0011554
33,948.244,1.67378,0.99767,1.0472,0.69071,0.49959,0.52629,0.24402,1.71951,0.95636,1.11938,0.00113889,0.00113889,0.00113889
34,976.845,1.66685,0.99517,1.04879,0.6947,0.51707,0.53666,0.24973,1.67504,0.92493,1.09945,0.00112239,0.00112239,0.00112239
35,1005.6,1.66362,0.97923,1.04747,0.68746,0.50043,0.52212,0.2464,1.74796,0.94567,1.11491,0.00110589,0.00110589,0.00110589
36,1034.61,1.64403,0.97469,1.04264,0.71943,0.5024,0.54578,0.2536,1.70076,0.90803,1.1121,0.00108938,0.00108938,0.00108938
37,1063.57,1.64349,0.96167,1.03952,0.71204,0.50273,0.53881,0.24908,1.70596,0.92642,1.11096,0.00107288,0.00107288,0.00107288
38,1092.11,1.62081,0.96061,1.04269,0.69421,0.50246,0.52305,0.24167,1.71466,0.92936,1.09924,0.00105638,0.00105638,0.00105638
39,1121.18,1.60745,0.92826,1.02866,0.70197,0.51622,0.5476,0.25312,1.7277,0.90674,1.10579,0.00103987,0.00103987,0.00103987
40,1149.92,1.60978,0.93167,1.0329,0.71866,0.51626,0.54572,0.25492,1.67874,0.91675,1.09528,0.00102337,0.00102337,0.00102337
41,1178.31,1.59068,0.9261,1.03034,0.70407,0.51626,0.54426,0.25897,1.6967,0.90501,1.10646,0.00100687,0.00100687,0.00100687
42,1207.34,1.57954,0.9128,1.02685,0.70209,0.51707,0.54965,0.2612,1.65232,0.90233,1.08544,0.000990365,0.000990365,0.000990365
43,1236.51,1.58342,0.91742,1.02661,0.73825,0.52441,0.56052,0.25862,1.70033,0.90701,1.11326,0.000973861,0.000973861,0.000973861
44,1265.03,1.587,0.90914,1.02517,0.6998,0.5224,0.54222,0.25347,1.70149,0.90644,1.10585,0.000957358,0.000957358,0.000957358
45,1293.45,1.5755,0.90523,1.01894,0.70975,0.52024,0.55877,0.25857,1.69823,0.90294,1.09692,0.000940855,0.000940855,0.000940855
46,1321.47,1.57686,0.89605,1.022,0.75037,0.52471,0.56997,0.2692,1.69628,0.88458,1.09956,0.000924352,0.000924352,0.000924352
47,1350.11,1.55399,0.89113,1.01256,0.70692,0.53196,0.55872,0.26295,1.70197,0.89342,1.09264,0.000907848,0.000907848,0.000907848
48,1378.75,1.54831,0.88637,1.01543,0.74242,0.52047,0.55395,0.26197,1.70021,0.88923,1.09983,0.000891345,0.000891345,0.000891345
49,1407.09,1.5376,0.88141,1.00948,0.70216,0.54139,0.56893,0.26661,1.68599,0.87236,1.09804,0.000874842,0.000874842,0.000874842
50,1435.73,1.52557,0.8657,1.00204,0.71219,0.52974,0.56405,0.26172,1.72245,0.88523,1.10735,0.000858338,0.000858338,0.000858338
51,1464.2,1.52468,0.85659,1.00818,0.72916,0.52515,0.56964,0.26805,1.73528,0.89518,1.10822,0.000841835,0.000841835,0.000841835
52,1492.74,1.50931,0.86552,1.00106,0.72336,0.53636,0.57534,0.26955,1.68909,0.86215,1.10362,0.000825332,0.000825332,0.000825332
53,1521.76,1.50668,0.8465,1.00188,0.73381,0.54427,0.58202,0.27458,1.66481,0.85784,1.08623,0.000808828,0.000808828,0.000808828
54,1550.81,1.48716,0.84101,0.99596,0.73832,0.52389,0.5684,0.27099,1.65086,0.85898,1.08331,0.000792325,0.000792325,0.000792325
55,1579.28,1.50594,0.84143,0.99668,0.75698,0.533,0.58022,0.2734,1.6357,0.86754,1.10208,0.000775822,0.000775822,0.000775822
56,1607.94,1.47567,0.82667,0.99003,0.76142,0.53219,0.57568,0.26595,1.67357,0.86384,1.10493,0.000759318,0.000759318,0.000759318
57,1636.6,1.47513,0.83505,0.9933,0.73486,0.53697,0.57726,0.26991,1.67321,0.86665,1.11511,0.000742815,0.000742815,0.000742815
58,1665.42,1.48024,0.82665,0.98818,0.74838,0.51885,0.56603,0.26923,1.67439,0.86112,1.10906,0.000726312,0.000726312,0.000726312
59,1694.16,1.45495,0.81538,0.98639,0.73455,0.54405,0.58435,0.27723,1.67196,0.8515,1.10221,0.000709809,0.000709809,0.000709809
60,1722.77,1.46232,0.81335,0.99055,0.7473,0.53992,0.58813,0.27247,1.67733,0.84884,1.0968,0.000693305,0.000693305,0.000693305
61,1751.49,1.45631,0.80674,0.98756,0.76554,0.51785,0.58034,0.27354,1.65762,0.84152,1.09511,0.000676802,0.000676802,0.000676802
62,1780.52,1.44937,0.8112,0.98537,0.77996,0.52327,0.58569,0.27533,1.66795,0.84661,1.09457,0.000660299,0.000660299,0.000660299
63,1809.26,1.43049,0.80405,0.98001,0.75136,0.53058,0.58838,0.27557,1.65298,0.88032,1.08845,0.000643795,0.000643795,0.000643795
64,1837.8,1.43041,0.78959,0.97561,0.7407,0.53681,0.58229,0.27341,1.64828,0.83587,1.08326,0.000627292,0.000627292,0.000627292
65,1866.3,1.42221,0.79051,0.9721,0.72719,0.55187,0.59383,0.27802,1.67027,0.85466,1.1036,0.000610789,0.000610789,0.000610789
66,1894.93,1.4164,0.78653,0.97274,0.78725,0.5361,0.59704,0.28075,1.68302,0.82947,1.08876,0.000594286,0.000594286,0.000594286
67,1923.61,1.4043,0.77221,0.9688,0.7644,0.53539,0.58876,0.27868,1.67507,0.83902,1.09176,0.000577782,0.000577782,0.000577782
68,1952.02,1.38463,0.76532,0.96892,0.76497,0.5298,0.58895,0.27971,1.66794,0.82493,1.09716,0.000561279,0.000561279,0.000561279
69,1980.11,1.39097,0.76837,0.96621,0.74634,0.53455,0.59085,0.28133,1.67943,0.85055,1.09308,0.000544776,0.000544776,0.000544776
70,2008.65,1.38379,0.76541,0.96362,0.77476,0.54188,0.59629,0.28398,1.66139,0.85437,1.09682,0.000528272,0.000528272,0.000528272
71,2037.52,1.38264,0.76197,0.96131,0.76227,0.5329,0.59297,0.28046,1.67071,0.84248,1.09741,0.000511769,0.000511769,0.000511769
72,2066.72,1.36367,0.74665,0.95674,0.79387,0.52709,0.58625,0.28266,1.65798,0.83455,1.09293,0.000495266,0.000495266,0.000495266
73,2095.51,1.372,0.74959,0.96085,0.76502,0.54707,0.59319,0.27778,1.6725,0.82286,1.09634,0.000478762,0.000478762,0.000478762
74,2124.32,1.34681,0.74145,0.95284,0.76925,0.53258,0.59181,0.27977,1.66897,0.84463,1.0946,0.000462259,0.000462259,0.000462259
75,2153.1,1.35356,0.73245,0.95049,0.75091,0.53296,0.5941,0.28344,1.68753,0.8386,1.09309,0.000445756,0.000445756,0.000445756
76,2181.95,1.36108,0.74073,0.96127,0.7702,0.53714,0.59676,0.28009,1.65389,0.85908,1.09755,0.000429253,0.000429253,0.000429253
77,2211.11,1.36028,0.74187,0.95787,0.75844,0.54889,0.5972,0.28045,1.67213,0.85036,1.08746,0.000412749,0.000412749,0.000412749
78,2239.93,1.33206,0.72728,0.9532,0.76652,0.54667,0.59953,0.28569,1.65602,0.84859,1.09206,0.000396246,0.000396246,0.000396246
79,2268.58,1.32748,0.7245,0.95201,0.77662,0.53697,0.59861,0.28667,1.64249,0.84299,1.08547,0.000379743,0.000379743,0.000379743
80,2297.34,1.33089,0.71714,0.94849,0.76468,0.54414,0.5987,0.28568,1.65234,0.83946,1.09357,0.000363239,0.000363239,0.000363239
81,2325.72,1.30401,0.71354,0.94403,0.76208,0.53654,0.60218,0.28486,1.66316,0.82568,1.09023,0.000346736,0.000346736,0.000346736
82,2354.49,1.30216,0.7173,0.94264,0.77592,0.54411,0.6074,0.28752,1.65894,0.82999,1.09419,0.000330233,0.000330233,0.000330233
83,2383.09,1.29497,0.70553,0.94363,0.7793,0.54492,0.60511,0.28864,1.6485,0.82672,1.09382,0.000313729,0.000313729,0.000313729
