epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.1699,1.1584,0.65562,0.91052,0.73236,0.51972,0.57343,0.26514,1.71567,0.88735,1.13748,0.000552379,0.000552379,0.000552379
2,57.5402,1.27141,0.69764,0.93265,0.75579,0.51329,0.57485,0.26656,1.75549,0.91228,1.12973,0.00109708,0.00109708,0.00109708
3,85.5605,1.48272,0.83624,0.99028,0.70569,0.51484,0.54928,0.2475,1.77528,0.92473,1.14036,0.00163077,0.00163077,0.00163077
4,114.421,1.50802,0.85901,0.9987,0.68009,0.50061,0.53208,0.24345,1.8118,0.97669,1.15168,0.00161749,0.00161749,0.00161749
5,142.194,1.53765,0.88134,1.00537,0.76539,0.51222,0.55924,0.25721,1.66861,0.8739,1.10107,0.00160099,0.00160099,0.00160099
6,170.408,1.51816,0.86765,1.0069,0.68852,0.50114,0.52058,0.23048,1.81376,0.95436,1.14049,0.00158448,0.00158448,0.00158448
7,198.21,1.52288,0.86206,0.99941,0.70825,0.46965,0.52202,0.2363,1.78367,1.04342,1.12477,0.00156798,0.00156798,0.00156798
8,226.23,1.50593,0.86101,1.00182,0.69019,0.532,0.55125,0.2535,1.79113,0.94509,1.14706,0.00155148,0.00155148,0.00155148
9,254.138,1.50063,0.85154,0.99893,0.69412,0.49529,0.54905,0.2563,1.73266,0.93318,1.11347,0.00153497,0.00153497,0.00153497
10,282.075,1.49262,0.84811,0.99364,0.71134,0.50403,0.53697,0.24342,1.75692,0.94691,1.12586,0.00151847,0.00151847,0.00151847
11,309.968,1.49353,0.85536,0.99138,0.68625,0.51963,0.55879,0.25681,1.74645,0.90461,1.11625,0.00150197,0.00150197,0.00150197
12,338.211,1.51093,0.85753,1.00047,0.70234,0.52428,0.56356,0.26182,1.76896,0.93625,1.12548,0.00148546,0.00148546,0.00148546
