epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,29.3102,1.31963,0.71179,0.94474,0.73749,0.54149,0.58776,0.27258,1.67681,0.8509,1.10947,0.000552379,0.000552379,0.000552379
2,57.8471,1.38132,0.76509,0.96094,0.7313,0.52111,0.57325,0.26495,1.74094,0.88763,1.11239,0.00109708,0.00109708,0.00109708
3,86.2601,1.4703,0.82748,0.98506,0.69221,0.51281,0.54557,0.2506,1.73961,0.91815,1.11666,0.00163077,0.00163077,0.00163077
4,114.386,1.49964,0.86377,0.99209,0.74003,0.49375,0.54781,0.25186,1.77031,0.98489,1.13579,0.00161749,0.00161749,0.00161749
5,142.319,1.525,0.87519,1.00137,0.73964,0.52767,0.56405,0.25764,1.73057,0.89526,1.13538,0.00160099,0.00160099,0.00160099
6,170.245,1.52148,0.87492,1.00975,0.72753,0.51061,0.55417,0.24762,1.75077,0.91991,1.12908,0.00158448,0.00158448,0.00158448
7,198.438,1.51389,0.86302,0.99961,0.67058,0.48442,0.52087,0.23279,1.74728,0.95277,1.11368,0.00156798,0.00156798,0.00156798
8,226.881,1.50487,0.86292,1.00068,0.70702,0.51384,0.54044,0.2443,1.73378,0.91772,1.10953,0.00155148,0.00155148,0.00155148
9,254.995,1.50025,0.8542,0.99814,0.72893,0.50935,0.56193,0.2565,1.72404,0.95358,1.11385,0.00153497,0.00153497,0.00153497
10,283.054,1.51147,0.85196,0.99899,0.71457,0.48512,0.53978,0.24258,1.80894,0.96911,1.11888,0.00151847,0.00151847,0.00151847
11,311.311,1.48765,0.86012,0.99159,0.70402,0.50079,0.53638,0.24822,1.74117,0.90546,1.11518,0.00150197,0.00150197,0.00150197
